                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1111,                 4.0015,                 4.1275,                0.01127,                    0.5,                0.01017,                0.00326,                 3.0932,                 4.6192,                 4.3868,             0.00041228,             0.00041228,             0.00041228
                      2,                 2.8645,                 3.4351,                 3.5179,                0.17788,                 0.0625,                0.02911,                0.00941,                 2.3501,                 9.3474,                 3.1968,             0.00076056,             0.00076056,             0.00076056
                      3,                 2.3855,                 3.4594,                 3.1597,                0.02949,                 0.1875,                0.02385,                 0.0105,                  2.302,                 39.715,                 3.0855,              0.0010401,              0.0010401,              0.0010401
                      4,                 2.2233,                 3.0945,                 2.9623,                0.27024,                   0.25,                0.16637,                0.04119,                 2.4718,                 8.2021,                  3.167,             0.00094062,             0.00094062,             0.00094062
                      5,                 2.1043,                 2.8169,                 2.8039,                0.31177,                  0.125,                0.18365,                0.08241,                 2.1146,                 4.0049,                 2.8177,             0.00094062,             0.00094062,             0.00094062
                      6,                 2.0011,                 2.6471,                 2.6768,                0.32434,                 0.3125,                0.21218,                0.08123,                 2.1071,                  3.973,                  2.721,              0.0008375,              0.0008375,              0.0008375
                      7,                  1.897,                 2.4606,                 2.5787,                      1,                0.12079,                0.27753,                0.11702,                 2.1184,                  3.989,                 2.8826,             0.00073437,             0.00073437,             0.00073437
                      8,                 1.8036,                 2.3525,                 2.4996,                0.41901,                 0.3125,                0.27589,                0.10204,                 2.2314,                 3.6286,                 2.6939,             0.00063125,             0.00063125,             0.00063125
                      9,                 1.7443,                 2.2182,                 2.4162,                0.39635,                0.20671,                 0.2848,                0.10859,                 2.0335,                 3.4703,                 2.6728,             0.00052812,             0.00052812,             0.00052812
                     10,                 1.6694,                 2.0955,                 2.3448,                0.44093,                   0.25,                0.20719,                0.07571,                 2.0282,                  3.716,                 2.6781,               0.000425,               0.000425,               0.000425
                     11,                 1.6002,                 2.0012,                 2.2623,                0.73144,                   0.25,                 0.3739,                0.14338,                 2.1147,                 3.2407,                 2.6851,             0.00032188,             0.00032188,             0.00032188
                     12,                 1.5526,                 1.8933,                 2.1973,                0.26795,                0.13846,                0.26451,                0.09486,                 2.1391,                  3.542,                 2.7501,             0.00021875,             0.00021875,             0.00021875
